"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
506,506,11,20,4,"C11Cl20H4","CPs"
507,507,12,20,6,"C12Cl20H6","CPs"
508,508,13,20,8,"C13Cl20H8","CPs"
509,509,14,20,10,"C14Cl20H10","CPs"
510,510,15,20,12,"C15Cl20H12","CPs"
511,511,16,20,14,"C16Cl20H14","CPs"
512,512,17,20,16,"C17Cl20H16","CPs"
513,513,18,20,18,"C18Cl20H18","CPs"
514,514,19,20,20,"C19Cl20H20","CPs"
515,515,20,20,22,"C20Cl20H22","CPs"
516,516,21,20,24,"C21Cl20H24","CPs"
517,517,22,20,26,"C22Cl20H26","CPs"
518,518,23,20,28,"C23Cl20H28","CPs"
519,519,24,20,30,"C24Cl20H30","CPs"
520,520,25,20,32,"C25Cl20H32","CPs"
521,521,26,20,34,"C26Cl20H34","CPs"
522,522,27,20,36,"C27Cl20H36","CPs"
523,523,28,20,38,"C28Cl20H38","CPs"
524,524,29,20,40,"C29Cl20H40","CPs"
525,525,30,20,42,"C30Cl20H42","CPs"
526,526,31,20,44,"C31Cl20H44","CPs"
527,527,32,20,46,"C32Cl20H46","CPs"
528,528,33,20,48,"C33Cl20H48","CPs"
529,529,34,20,50,"C34Cl20H50","CPs"
530,530,35,20,52,"C35Cl20H52","CPs"
531,531,36,20,54,"C36Cl20H54","CPs"
532,532,10,21,1,"C10Cl21H1","CPs"
533,533,11,21,3,"C11Cl21H3","CPs"
534,534,12,21,5,"C12Cl21H5","CPs"
535,535,13,21,7,"C13Cl21H7","CPs"
536,536,14,21,9,"C14Cl21H9","CPs"
537,537,15,21,11,"C15Cl21H11","CPs"
538,538,16,21,13,"C16Cl21H13","CPs"
539,539,17,21,15,"C17Cl21H15","CPs"
540,540,18,21,17,"C18Cl21H17","CPs"
541,541,19,21,19,"C19Cl21H19","CPs"
542,542,20,21,21,"C20Cl21H21","CPs"
543,543,21,21,23,"C21Cl21H23","CPs"
544,544,22,21,25,"C22Cl21H25","CPs"
545,545,23,21,27,"C23Cl21H27","CPs"
546,546,24,21,29,"C24Cl21H29","CPs"
547,547,25,21,31,"C25Cl21H31","CPs"
548,548,26,21,33,"C26Cl21H33","CPs"
549,549,27,21,35,"C27Cl21H35","CPs"
550,550,28,21,37,"C28Cl21H37","CPs"
551,551,29,21,39,"C29Cl21H39","CPs"
